,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
107,Florida Atlantic,12,20.5,22.1,34.7,63.7,237.6,1.5,34.2,113.1,3.3,1.0,68.8,350.7,5.1,10.6,6.6,1.3,18.5,6.4,51.3,1.1,0.5,1.6
108,Washington State,12,20.4,30.3,52.0,58.2,330.4,1.9,21.0,29.1,1.4,0.5,73.0,359.5,4.9,13.5,3.3,4.0,20.8,7.3,63.7,0.8,1.8,2.5
109,Maryland,12,20.1,13.8,25.3,54.3,181.8,1.4,39.3,103.0,2.6,0.9,64.7,284.8,4.4,7.8,6.0,1.5,15.3,4.2,38.8,1.5,1.0,2.5
110,Michigan State,13,20.0,18.8,35.8,52.5,209.9,1.1,37.8,149.4,3.9,1.0,73.6,359.3,4.9,10.7,7.2,1.2,19.2,5.8,56.5,0.6,0.8,1.4
111,Boston College,12,19.8,21.3,39.4,54.1,258.9,1.5,28.8,90.9,3.2,0.6,68.2,349.8,5.1,12.3,5.5,1.9,19.8,4.0,32.3,0.9,1.1,2.0
112,Southern Mississippi,12,19.7,12.6,26.1,48.2,168.3,0.8,39.9,154.6,3.9,1.4,66.0,322.8,4.9,7.3,9.0,1.7,17.9,4.8,40.5,1.3,1.1,2.3
113,Iowa,12,19.3,18.6,32.4,57.3,187.4,0.6,33.7,123.0,3.7,1.3,66.1,310.4,4.7,7.8,8.0,1.6,17.4,4.6,40.9,0.3,0.7,0.9
114,Auburn,12,18.7,12.3,21.4,57.2,156.6,0.7,36.5,148.4,4.1,1.3,57.9,305.0,5.3,6.9,7.9,0.7,15.5,6.3,50.1,0.8,1.3,2.1
115,New Mexico State,12,18.7,17.9,33.5,53.5,237.8,1.6,32.4,97.6,3.0,0.9,65.9,335.3,5.1,10.3,6.0,2.3,18.6,5.1,40.1,1.3,0.9,2.3
116,South Alabama,13,18.5,18.8,34.5,54.3,209.8,1.2,37.6,123.5,3.3,0.8,72.2,333.4,4.6,9.4,7.5,2.5,19.4,7.4,67.5,1.3,1.2,2.5
117,Wake Forest,12,18.5,19.9,35.6,56.0,200.8,1.1,33.5,100.5,3.0,1.3,69.1,301.3,4.4,8.1,6.5,1.1,15.7,4.4,38.4,0.7,0.6,1.3
118,Kansas,12,18.3,12.3,26.1,47.3,148.7,0.6,46.5,211.7,4.6,1.6,72.6,360.3,5.0,6.8,11.5,1.7,20.0,3.8,30.0,0.8,1.1,1.9
119,Kentucky,12,17.9,18.3,32.3,56.8,176.3,1.1,33.6,138.8,4.1,1.1,65.8,315.0,4.8,8.5,7.6,1.8,17.8,4.6,41.3,0.5,0.8,1.3
120,Colorado,12,17.8,18.5,33.7,55.0,192.5,0.9,35.4,110.3,3.1,1.3,69.1,302.8,4.4,9.2,5.9,2.1,17.2,6.1,57.8,1.3,1.6,2.8
121,Connecticut,12,17.8,18.3,32.3,56.4,230.4,0.8,34.9,87.9,2.5,0.8,67.3,318.3,4.7,11.7,4.0,1.3,16.9,4.7,38.8,0.7,1.5,2.2
122,Illinois,12,16.7,18.6,29.5,63.0,168.8,0.9,36.9,127.8,3.5,1.0,66.4,296.7,4.5,8.3,7.3,0.9,16.4,5.9,49.6,1.3,1.2,2.5
123,Idaho,12,15.8,21.8,37.3,58.5,225.8,1.3,29.2,89.3,3.1,0.3,66.5,315.1,4.7,9.1,5.5,1.2,15.8,7.3,62.7,1.4,1.8,3.3
124,Massachusetts,12,12.7,19.8,37.0,53.4,186.7,0.8,34.2,91.6,2.7,0.7,71.2,278.3,3.9,9.9,5.8,1.5,17.2,6.8,56.6,0.8,1.6,2.3
